Type	Price	Timestamp	InstanceType	ProductDescription	AvailabilityZone
SPOTINSTANCEPRICE	0.010000	2016-09-12T14:49:31+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T14:45:27+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010000	2016-09-12T14:44:38+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T14:44:15+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010000	2016-09-12T14:24:20+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T13:57:36+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T13:57:12+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T13:48:39+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T13:22:40+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T13:21:52+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T13:21:29+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T13:18:38+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T13:15:25+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T13:14:34+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T13:13:46+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T13:06:30+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T13:06:07+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T12:56:21+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T11:52:23+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T11:50:21+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T11:49:35+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T11:46:48+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T11:43:55+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T11:42:43+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T10:26:28+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T10:04:35+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010000	2016-09-12T10:04:12+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T09:19:08+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010000	2016-09-12T09:18:42+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T09:18:18+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010000	2016-09-12T08:36:40+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T08:28:05+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T08:27:41+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009900	2016-09-12T08:15:32+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T07:58:29+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T07:56:30+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T07:55:44+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T07:53:38+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009800	2016-09-12T07:49:39+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T04:12:18+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T04:11:27+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T04:05:47+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T04:03:45+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T04:02:56+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T03:03:18+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T03:02:56+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T03:02:02+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T03:00:22+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T02:56:19+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T02:48:11+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T02:42:29+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T02:33:35+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T02:32:22+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T02:31:58+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T02:31:13+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T02:28:42+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T02:04:51+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009700	2016-09-12T02:04:27+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T01:21:33+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009500	2016-09-12T01:08:33+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.009600	2016-09-12T01:01:36+0800	m3.medium	Linux/UNIX	us-east-1a
